MSSubClass,MSZoning,log(LotArea),Neighborhood,OverallQual,OverallCond,log(TotalBsmtSF),log(GrLivArea),SaleType,SaleCondition,log(SalePrice)
2-STORY 1946 & NEWER,RL,3.926856709,CollgCr,7,5,2.932473765,3.23299611,WD,Normal,5.319106059
1-STORY 1946 & NEWER ALL STYLES,RL,3.982271233,Veenker,6,8,3.101059355,3.101059355,WD,Normal,5.258876629
2-STORY 1946 & NEWER,RL,4.051152522,CollgCr,7,5,2.963787827,3.251881455,WD,Normal,5.349277527
2-STORY 1945 & OLDER,RL,3.980003372,Crawfor,7,5,2.878521796,3.234770295,WD,Abnorml,5.146128036
2-STORY 1946 & NEWER,RL,4.154119526,NoRidge,8,5,3.058805487,3.342027688,WD,Normal,5.397940009
1-1/2 STORY FINISHED ALL AGES,RL,4.149680882,Mitchel,5,5,2.900913068,3.134177108,WD,Normal,5.155336037
1-STORY 1946 & NEWER ALL STYLES,RL,4.003632837,Somerst,8,5,3.22685757,3.228913406,WD,Normal,5.487138375
2-STORY 1946 & NEWER,RL,4.016281025,NWAmes,7,6,3.044147621,3.320146286,WD,Normal,5.301029996
1-1/2 STORY FINISHED ALL AGES,RM,3.786751422,OldTown,7,5,2.978636948,3.248953615,WD,Abnorml,5.113609151
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,3.870403905,BrkSide,5,6,2.996073654,3.032215703,WD,Normal,5.071882007
1-STORY 1946 & NEWER ALL STYLES,RL,4.049218023,Sawyer,5,5,3.017033339,3.017033339,WD,Normal,5.112269768
2-STORY 1946 & NEWER,RL,4.076421967,NridgHt,9,5,3.070037867,3.366236124,New,Partial,5.537819095
1-STORY 1946 & NEWER ALL STYLES,RL,4.112873002,Sawyer,5,6,2.959994838,2.959994838,WD,Normal,5.158362492
1-STORY 1946 & NEWER ALL STYLES,RL,4.027431158,CollgCr,7,5,3.174350597,3.174350597,New,Partial,5.446381812
1-STORY 1946 & NEWER ALL STYLES,RL,4.038222638,NAmes,6,5,3.097951071,3.097951071,WD,Normal,5.195899652
1-1/2 STORY - UNFINISHED ALL AGES,RM,3.786751422,BrkSide,7,8,2.920123326,2.931457871,WD,Normal,5.120573931
1-STORY 1946 & NEWER ALL STYLES,RL,4.050804948,NAmes,6,7,3.001733713,3.001733713,WD,Normal,5.173186268
DUPLEX - ALL STYLES AND AGES,RL,4.033061693,Sawyer,4,5,#NUM!,3.112605002,WD,Normal,4.954242509
1-STORY 1946 & NEWER ALL STYLES,RL,4.136562037,SawyerW,5,5,3.046885191,3.046885191,WD,Normal,5.201397124
1-STORY 1946 & NEWER ALL STYLES,RL,3.878521796,NAmes,5,6,3.012415375,3.126780577,COD,Abnorml,5.1430148
2-STORY 1946 & NEWER,RL,4.152746864,NridgHt,8,5,3.063708559,3.375846436,New,Partial,5.512284063
1-1/2 STORY - UNFINISHED ALL AGES,RM,3.872097974,IDOTRR,7,7,2.804139432,3.04453976,WD,Normal,5.144262774
1-STORY 1946 & NEWER ALL STYLES,RL,3.988648125,CollgCr,8,5,3.249687428,3.254064453,WD,Normal,5.361727836
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.62572391,MeadowV,5,7,3.017033339,3.025305865,WD,Normal,5.113609151
1-STORY 1946 & NEWER ALL STYLES,RL,3.91624333,Sawyer,5,8,3.025305865,3.025305865,WD,Normal,5.187520721
1-STORY 1946 & NEWER ALL STYLES,RL,4.1532049,NridgHt,8,5,3.194791758,3.204119983,WD,Normal,5.408748606
1-STORY 1946 & NEWER ALL STYLES,RL,3.857332496,NAmes,5,7,2.954242509,2.954242509,WD,Normal,5.129689892
1-STORY 1946 & NEWER ALL STYLES,RL,4.05986622,NridgHt,8,5,3.23146959,3.23146959,WD,Normal,5.485721426
1-STORY 1946 & NEWER ALL STYLES,RL,4.212746765,NAmes,5,6,3.171433901,3.204119983,WD,Normal,5.317018101
1-STORY 1945 & OLDER,RM,3.800991861,BrkSide,4,6,2.716003344,2.716003344,WD,Normal,4.835690571
2-STORY 1945 & OLDER,C (all),3.929418926,IDOTRR,4,4,2.812244697,3.119585775,WD,Normal,4.602059991
1-STORY 1946 & NEWER ALL STYLES,RL,3.93166124,Sawyer,5,6,3.089198367,3.089198367,WD,Normal,5.174205227
1-STORY 1946 & NEWER ALL STYLES,RL,4.043322974,CollgCr,8,5,3.09131516,3.09131516,WD,Normal,5.255031163
1-STORY 1946 & NEWER ALL STYLES,RL,4.023334783,NAmes,5,5,3.145507171,3.230448921,WD,Normal,5.218797998
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.864095573,NridgHt,9,5,3.193402903,3.193402903,WD,Normal,5.443262987
